Class_id,Image_id,Image_title,Image_url,class_description
/m/014l8n,000002b66c9c498e,#latepost #lategram #anniversary #celebration sa #Coron #surprise #love #cake #wine #flowers #chocolates #CoronEscapade #friends,https://c7.staticflickr.com/6/5499/10245691204_ace6136324_z.jpg,Yogurt
/m/014l8n,00ba3de792f5273a,Selyodka Pod Shuboy Dressed Herring in a Jar Public Domain Photo,https://c6.staticflickr.com/9/8364/8310683503_18cd25491c_z.jpg,Yogurt
/m/014l8n,029fcf32abaff860,Toast Yogurt with Pea Ice Cream,https://c6.staticflickr.com/4/3675/9442643962_d1d9a2a5d9_z.jpg,Yogurt
/m/014l8n,224300a9e77f30df,IMG_20120122_052042,https://c3.staticflickr.com/8/7155/6740551567_b4133f9798_z.jpg,Yogurt
/m/014l8n,02a0cb325368894b,0243 Non Fat Frozen Yogurt nyc,https://c2.staticflickr.com/9/8462/7968950928_044c1b5767_z.jpg,Yogurt
/m/014l8n,00b6c4eb7aae9ace,Grom Gelato,https://c4.staticflickr.com/5/4021/4691961832_99c8ebecf3_z.jpg,Yogurt
/m/014l8n,02a1505927640ef6,Raspberries and Mango,https://c7.staticflickr.com/8/7370/9227358381_0be4d41a16_z.jpg,Yogurt
/m/014l8n,06475982c6ab0a03,Strawberry Gelato,https://c3.staticflickr.com/4/3617/3648739844_ffd06f6246_z.jpg?zz=1,Yogurt
/m/014l8n,0643998265ee5ccf,STAR BUCKS KYOTO MATCHA LATTE,https://c2.staticflickr.com/4/3011/3152557721_1983e22707_z.jpg,Yogurt
/m/014l8n,ae611b1ab24d1467,My FroYo treat for Mum and sissy ♥,https://c4.staticflickr.com/3/2822/11481317566_14453eaa16_z.jpg,Yogurt
/m/014l8n,8d01f0cbba77d32e,Peeps,https://c1.staticflickr.com/9/8572/15988647713_89439287b7_z.jpg,Yogurt
/m/014l8n,00b07a3d1010af5f,"milk, egg, salt, 5 tbsps butter",https://c4.staticflickr.com/3/2468/4047132229_eea0f5dbd8_z.jpg?zz=1,Yogurt
/m/014l8n,02abd270915f3d57,"Strauss Greek yogurt panna cotta, honey, berries, yuzu granita",https://c3.staticflickr.com/1/434/19624770965_47456a1982_z.jpg,Yogurt
/m/014l8n,4fcedbde595bd8ce,Home made sour cream,https://c2.staticflickr.com/9/8469/8427909835_004334fae9_z.jpg,Yogurt
/m/014l8n,0638b7fc76ba2999,straw_7035,https://c5.staticflickr.com/6/5079/14152458794_8551c17c19_z.jpg,Yogurt
/m/014l8n,062ca773450130bb,CAN ALL THE THINGS!,https://c7.staticflickr.com/6/5546/11538665966_051772e457_z.jpg,Yogurt
/m/014l8n,00ae1387ccdfe7d1,Akbar's Pickle Tray,https://c1.staticflickr.com/1/13/18319174_5f4f5ac34d_z.jpg,Yogurt
/m/014l8n,213050411e8dee4d,Cuong-1887,https://c5.staticflickr.com/8/7490/16137711009_e0b3be3131_z.jpg,Yogurt
/m/014l8n,00accaa1ed88c94e,Herbert's Dream,https://c7.staticflickr.com/6/5014/5472897375_7d99039a50_z.jpg,Yogurt
