Class_id,Image_id,class_description
/m/02xwb,00013bb4b9ddfbab,Fruit
/m/02xwb,0005817f5c4ef853,Fruit
/m/02xwb,0006124f7e35107e,Fruit
/m/02xwb,0007a9c8ab376be9,Fruit
/m/01xg0j,000837621efdbfce,Breakfast sausage
/m/0kdzn,000837621efdbfce,Sausage
/m/02xwb,0009e57c20c24d4a,Fruit
/m/017z01,000ab7bec71cc50a,French toast
/m/017z0v,000ab7bec71cc50a,Toast
/m/02xwb,000d1976fc8ebfe7,Fruit
/m/02xwb,000d9c59687b509b,Fruit
/m/01yyk,000e5c95b8cbb75b,Cereal
/m/02xwb,000f220c9a9533cc,Fruit
/m/02xwb,00105eff22b1046b,Fruit
/m/02xwb,001172cb8dbdb0d6,Fruit
/m/02xwb,00164cfbc5281399,Fruit
/m/02xwb,0017b1b931ad89ef,Fruit
/m/02xwb,0018c49a9ed3c640,Fruit
/m/02xwb,001a4b1599668128,Fruit
/m/027x8l3,001ac70b6184abed,Breakfast sandwich
/m/0b0y41,001bab35db5d2e38,Poached egg
/m/027x8l3,001bb3020830f63b,Breakfast sandwich
/m/02xwb,001e2b6845a27739,Fruit
/m/01pmj8,001f47da19e35f77,Scone
/m/01tqs1,001f47da19e35f77,Biscuit
/m/02xwb,001f87dabc46da27,Fruit
/m/027x8l3,0020f89e4cb5041d,Breakfast sandwich
/m/01yyk,00222a71f3ae10ef,Cereal
/m/02xwb,0022b0f44eef6e2a,Fruit
/m/02xwb,0024ae6845dde8f4,Fruit
/m/02xwb,0024b8a8088a2753,Fruit
/m/027x8l3,00266c82281e05ae,Breakfast sandwich
/m/02w4tl,00266c82281e05ae,English muffin
/m/02xwb,0026bf4f813772b9,Fruit
/m/027x8l3,0026c070b0edd913,Breakfast sandwich
/m/02xwb,0026df6bcaf93ac5,Fruit
/m/02xwb,0028adf0e92c3da2,Fruit
/m/01tcjp,0029276266f6ec39,Muffin
/m/017z01,002a8a5e09350b8e,French toast
/m/017z0v,002a8a5e09350b8e,Toast
/m/01tqs1,0030fb2551ca50fc,Biscuit
/m/02xwb,00316e8bc3ecc649,Fruit
/m/01yyk,003278f4d3a3b606,Cereal
/m/02xwb,0034b9e05a656c08,Fruit
/m/0kdzn,0035baa36907e626,Sausage
/m/0b0y41,0035d941e53f36d8,Poached egg
/m/0cl1s,00396d187e073216,Bread pudding
/m/02xwb,00398c1f88ad60c6,Fruit
/m/02xwb,003a151caac3ae68,Fruit
/m/02xwb,003d3be546fe8fc2,Fruit
/m/01tqs1,003ecf27fe8fef34,Biscuit
/m/02xwb,003fb5c61c4168ab,Fruit
/m/01tcjp,00401d95808c459a,Muffin
/m/0jy4k,0044a9e8a0c93a27,Doughnut
/m/0h0xm,00481dbc39318fb7,Bacon
/m/02xwb,0048bb846c5dceb3,Fruit
/m/02xwb,0048bc535d4b047c,Fruit
/m/01yyk,004a4d8e2f9ffe0a,Cereal
/m/01xg0j,004c28b5d8e5d329,Breakfast sausage
/m/02xwb,004db38fdb13f7af,Fruit
/m/020hqc,004e8f8aa9860565,Muesli
/m/02xwb,004e8f8aa9860565,Fruit
/m/0l6sg,004e8f8aa9860565,Breakfast cereal
/m/09gnq8,0051214e2d66ccf6,Home fries
/m/01f79n,0051d14ab717cbe0,Quiche
/m/07tyc5,0051d14ab717cbe0,Frittata
/m/0cl1s,0051d14ab717cbe0,Bread pudding
/m/02xwb,00548250a81be4fe,Fruit
/m/02xwb,00568c421d1592fa,Fruit
/m/0400bw,00571bf60c346acd,Cinnamon roll
/m/07ql1_,00571bf60c346acd,Sticky bun
/m/0b0y41,005e32448183ea71,Poached egg
/m/01yyk,0060763a9f9e05b6,Cereal
/m/02xwb,006162669b128303,Fruit
/m/02xwb,006241dfc0be4f49,Fruit
/m/02xwb,00628c5a6a632bda,Fruit
/m/02xwb,0063a4b75d1f818f,Fruit
/m/07tyc5,00658ec9543609a5,Frittata
/m/01tqs1,0065d77fba58461e,Biscuit
/m/01yyk,0066fdf60d631726,Cereal
/m/01f79n,00679d9a75e51bee,Quiche
/m/02xwb,00691744fdc8c1a8,Fruit
/m/01yyk,006a5ba123f81eb2,Cereal
/m/02xwb,006ac0b3d61f1ee9,Fruit
/m/02xwb,006b4e6f706e3119,Fruit
/m/02xwb,006bf5d3ea92ed32,Fruit
/m/01x5j8,006c25d5f7ccb9fb,Crêpe
/m/02xwb,006e0a3d99d16d60,Fruit
/m/027x8l3,006e452efd8b8271,Breakfast sandwich
/m/02xwb,006fabb886d8c3ad,Fruit
/m/02xwb,006fe57603a79245,Fruit
/m/027x8l3,00723ad5d7021de5,Breakfast sandwich
/m/02xwb,00730e60ab276b06,Fruit
/m/017z01,007345f7a529b9d8,French toast
/m/017z0v,007345f7a529b9d8,Toast
/m/027x8l3,007345f7a529b9d8,Breakfast sandwich
/m/01yyk,007434175f8f246f,Cereal
/m/014l8n,0075bda7ec3bcbb4,Yogurt
/m/02xwb,0075f89288426054,Fruit
/m/06y1hm,00769c27364300ab,Turnover
/m/027x8l3,007718909282d6eb,Breakfast sandwich
/m/01xg0j,0078a963d7c73371,Breakfast sausage
/m/0kdzn,0078a963d7c73371,Sausage
/m/02xwb,007b7cd92d5d3f24,Fruit
/m/014l8n,007dd627ea114ca8,Yogurt
/m/017z0v,007eebe8b7598602,Toast
/m/01yyk,008178cdcc6cd205,Cereal
/m/0kdzn,0084156c531d906e,Sausage
/m/02xwb,0084b263c77b57e6,Fruit
/m/02xwb,008594a26426c4f2,Fruit
/m/02xwb,00881627629888f6,Fruit
/m/014l8n,0088b6cafae72288,Yogurt
/m/02xwb,008b4d6ed74bae88,Fruit
/m/01f79n,008b4e8d851161de,Quiche
/m/02xwb,008c0116989c3edd,Fruit
/m/01yyk,008d0502d6bf58a2,Cereal
/m/020hqc,008d0502d6bf58a2,Muesli
/m/02z9dy,008d0502d6bf58a2,Granola
/m/0l6sg,008d0502d6bf58a2,Breakfast cereal
