Image_id,Image_title,Image_url,Class_id,class_description,x_min,x_max,y_min,y_max
7df24249edab65ac,panini da hamburger e hot-dog,https://c8.staticflickr.com/4/3274/2566577245_670b486355_z.jpg?zz=1,/m/09728,Bread,0.304688,0.670898,0.306641,0.56543
00ac79f4d6d3de1d,Holy hell those char-broiled oysters are delicious. Lets do at beach @Chelsa @lock,https://c4.staticflickr.com/3/2078/5800963517_bb0b5f5a5c_z.jpg,/m/09728,Bread,0.2975,0.50234375,0.20166699999999999,0.740833
0c1f791340124daa,Chesnut Bread,https://c6.staticflickr.com/1/136/351568246_af7e920512_z.jpg,/m/09728,Bread,0.0,0.301875,0.125,0.47437474999999996
ed222245c4249a4f,Voila~!,https://c5.staticflickr.com/5/4130/4959862156_32c8f46961_z.jpg,/m/09728,Bread,0.0,0.075625,0.3910969859375,0.613284434375
0bf1f29e46cfd79a,pane di castagne e noci,https://c3.staticflickr.com/4/3257/3240057784_f2f1636279_z.jpg?zz=1,/m/09728,Bread,0.054688,0.966797,0.20864024374999998,0.5400865203125
19ed28f5abd8d8b8,Banana Bread,https://c7.staticflickr.com/3/2233/3538111364_6a95e815c0_z.jpg,/m/09728,Bread,0.0,0.999375,0.125,0.8743752499999999
8af4b8a94ea2d99a,comida del hombre solo en Francia,https://c7.staticflickr.com/9/8367/8565335120_dc0ba81729_z.jpg,/m/09728,Bread,0.644282,0.784574,0.29765,0.43676562499999994
79f59e6173884645,"Krankenhaushumor: 3 Scheiben Graubrot, 30 g Butter, Maiskölbchen, Krautsalat mit (wahrscheinlich) Pfirsich",https://c5.staticflickr.com/1/411/19114232382_2475c7bd6c_z.jpg,/m/09728,Bread,0.575625,0.9018750000000001,0.220079,0.7411385000000001
835ce37c000d56cb,the hockey puck,https://c5.staticflickr.com/1/125/394899088_7993d1b3f9_z.jpg,/m/09728,Bread,0.1275,0.9012499999999999,0.17375000000000002,0.8249997499999999
b5a6ad1a97a0a27a,Yorkshire man's lunch #lunch #Yorkshire #manslunch #notsharring,https://c8.staticflickr.com/6/5827/21332997056_48a665101e_z.jpg,/m/09728,Bread,0.300926,0.8240739999999999,0.036111,0.374074
eda85e7d602ebe03,IMG_0998,https://c2.staticflickr.com/3/2833/10018358244_92d6923018_z.jpg,/m/09728,Bread,0.317,0.45299975000000003,0.215,0.325
f0efe97ed2478917,Sentido Turan Prince. Main Restaurant,https://c4.staticflickr.com/3/2899/14437769954_b33182d4d0_z.jpg,/m/09728,Bread,0.534667,0.730667,0.630643975,0.7392919375
4e74a2bfd3fb3210,"Albert Anker &quot;Still life with bread, coffee and potatoes&quot; 1897",https://c2.staticflickr.com/6/5819/20442689804_8142861b0b_z.jpg,/m/09728,Bread,0.114666771875,0.569512796875,0.343775,0.633735
3577ae3232f3e07d,Clement Street Pastries,https://c6.staticflickr.com/4/3259/2783119162_cedf9845ea_z.jpg,/m/09728,Bread,0.20749999999999996,0.73375,0.61375025,0.75250025
9afe5847aea3e847,Smoked Bacon,https://c6.staticflickr.com/6/5308/5640137762_323c06c8c6_z.jpg,/m/09728,Bread,0.23437475000000002,0.68687525,0.021875,0.903125
d1f92d25cb401882,Aigner,https://c3.staticflickr.com/8/7149/6646283113_592af94836_z.jpg,/m/09728,Bread,0.57625,0.931875,0.363622090625,0.55943099375
0d4ba3c156a8a417,Omelet Roses,https://c3.staticflickr.com/6/5636/20978743300_962e14f817_z.jpg,/m/09728,Bread,0.0,0.34,0.2675001875,0.58687475
1ea3f931958e0976,"The quality of life explained, painting of a table top in a library kitchen, Artist's collection, Mexique, Zona Centro, Guadalajara, Mexico",https://c1.staticflickr.com/4/3569/3468329985_ebfbc7a80b_z.jpg,/m/09728,Bread,0.341875,0.585625,0.55479025625,0.666249828125
82855441e677dacf,honey-sunflower_2,https://c2.staticflickr.com/3/2111/2173881967_a0ee887d8c_z.jpg?zz=1,/m/09728,Bread,0.025,0.964063,0.14062475000000002,0.84374975
1375bc0bacaaa612,Pain au Levain - Cooling,https://c6.staticflickr.com/3/2788/4335742004_5168ee2826_z.jpg,/m/09728,Bread,0.066875,0.909375,0.23187499999999997,0.8743752499999999
1e62680757699fa3,Kippers for breakfast,https://c4.staticflickr.com/3/2254/2443135707_7d5e2866f4_z.jpg,/m/09728,Bread,0.18749975000000002,0.65312525,0.013750000000000002,0.386875
15ef669327581a65,19th century prison food: turnips and bread,https://c8.staticflickr.com/1/64/169159169_959ebf5069_z.jpg,/m/09728,Bread,0.164375,0.859375,0.20687525,0.5687502500000001
209e7f1e8a249223,Lekker broodje #bread #baking #heelhollandbakt,https://c4.staticflickr.com/4/3785/10156661186_e1f0a2a2c8_z.jpg,/m/09728,Bread,0.0484377125,0.943749725,0.27656262500000006,0.67187541875
